District,Zone,Geographical Region,Development Region,School Number,School Code,Name of School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
Kathmandu,Bagmati,Hill,Central,1914,29021,SHANTI SHIKCHHA MANDIR MA VI THAHITY,36,44.5,46.8,39.9,43.2,50.6,0,12,25,1,38,12,74.5
Kathmandu,Bagmati,Hill,Central,1915,29022,JANA PRABHAT MA VI KALIMATI,32.5,53.8,47.3,35.7,50.1,44.5,0,26,36,0,62,17,78.5
Kathmandu,Bagmati,Hill,Central,1916,29023,KIRTIPUR MA VI KIRTIPUR,27.6,46.9,34.2,30.1,39.4,36.8,0,0,14,2,16,17,48.5
Kathmandu,Bagmati,Hill,Central,1917,29024,JANASEWA MA VI PANGA,35.9,51.5,47.8,32.7,38.8,41.1,1,7,47,1,56,16,77.8
Kathmandu,Bagmati,Hill,Central,1918,29025,SITARAM MA VI RAMKOT,33.2,61.2,55.7,38.3,46.1,44.2,0,35,42,0,77,6,92.8
Kathmandu,Bagmati,Hill,Central,1919,29026,ARUNODAYA MA VI SATIKHEL PHARPING,35.1,52.4,48.1,41.5,49.6,45.1,0,29,17,0,46,14,76.7
Kathmandu,Bagmati,Hill,Central,1920,29027,GYANODAYA MA VI PURANO KALIMATI,49.7,62.4,66.2,47.9,57.4,53.6,6,95,13,0,114,2,98.3
Kathmandu,Bagmati,Hill,Central,1921,29028,BALKUMARI AWASIYA MA VI NAXAL,46.4,54.5,74.9,30.7,60.8,56,0,12,0,0,12,0,100
Kathmandu,Bagmati,Hill,Central,1922,29029,ANNAPURNA HIGHER SECONDARY SCHOOL INBAHAL KAMALACH,60.6,57.4,60.6,45.1,65.7,47.2,5,79,16,0,100,3,97.1
Kathmandu,Bagmati,Hill,Central,1923,29030,BABA BOARDING MA VI CHABHIL,58.4,63.5,72.9,49.3,63,52.1,16,50,4,0,70,0,100
Kathmandu,Bagmati,Hill,Central,1924,29031,BAL SUDHAR MA VI NAYAPATI,32.8,49.3,54.5,33.5,39.3,43.7,0,9,28,2,39,2,90.7
Kathmandu,Bagmati,Hill,Central,1925,29032,SARASWATI MA VI TOKHA,32.8,41.5,51.8,40.2,43.8,48,0,14,37,2,53,6,89.8
Kathmandu,Bagmati,Hill,Central,1926,29034,V. S. NIKETAN HIGHER SECONDARY SCHOOL ALOKNAGAR MINBHA,58.5,65.2,75.4,54.6,62.2,58.7,60,170,7,0,237,2,99.2
Kathmandu,Bagmati,Hill,Central,1927,29035,NEPAL ADARSHA MA VI GANABAHAL,27,51,47.2,33.5,46.5,48.3,0,2,7,0,9,6,60
Kathmandu,Bagmati,Hill,Central,1928,29036,SHANTI NIKUNJ MA VI BHAGAWATIBARI,28.7,51.7,47.5,35.3,42.8,35,0,3,27,3,33,12,73.3
Kathmandu,Bagmati,Hill,Central,1929,29037,NEPAL YUBAK MA VI PAKNAJOL,32.7,50,39.8,31.2,51.2,39.3,0,12,23,1,36,19,65.5
Kathmandu,Bagmati,Hill,Central,1930,29038,GEETA MATA MA VI BIJESWORI,41.2,68.5,68.5,52.4,56.9,47.5,10,82,14,0,106,0,100
Kathmandu,Bagmati,Hill,Central,1931,29039,TAUDAHA RASTRIYA MA VI TAUDAH,32.5,56.6,52.8,38.3,46.5,47.3,0,14,16,0,30,0,100
Kathmandu,Bagmati,Hill,Central,1932,29040,NEPAL RASTRIYA UCHCHA MA VI NEPALTAR,33,58.9,45.1,41.4,47.3,41.4,1,38,46,0,85,39,68.5
Kathmandu,Bagmati,Hill,Central,1933,29041,BAGH BHAIRAB BOARDING MA VI KIRTIPUR,58.4,65.3,80.8,65.1,69.7,57.7,10,9,0,0,19,0,100
Kathmandu,Bagmati,Hill,Central,1934,29042,EKATA SADAN ENGLISH SECONDARY BOARDING SCHOOL TANGAL,50.8,55.5,54.7,47.7,49.2,55.2,0,5,5,0,10,3,76.9
Kathmandu,Bagmati,Hill,Central,1935,29044,NAWAYUG MA VI JYABAHAL,26.8,51.7,29.1,29.9,39.3,34.3,0,1,7,2,10,14,41.7
Kathmandu,Bagmati,Hill,Central,1936,29045,BHANU MA VI (DURBAR HIGH SCHOOL) RANIPOKHARI,35,62.8,55.2,39.4,51.7,56.6,1,10,9,0,20,4,83.3
Kathmandu,Bagmati,Hill,Central,1937,29046,SHREE 5 RATNA RAJYA LAXMI MA VI BANESHWAR,37,57.9,51.6,49.1,58.6,45.4,5,90,68,0,163,26,86.2
Kathmandu,Bagmati,Hill,Central,1938,29047,PRABHAT MA VI THANKOT,37,56.5,57.8,44.6,55.5,53.5,0,31,20,0,51,1,98.1
Kathmandu,Bagmati,Hill,Central,1939,29048,GUHESHWARI MA VI SINAMANGAL,32.5,57.5,45.9,40.3,46.1,44.1,2,26,75,0,103,23,81.7
Kathmandu,Bagmati,Hill,Central,1940,29049,NAMGYAL MA VI GOKARNA,49.3,53,62.8,35.9,52.8,57.4,0,55,19,0,74,0,100
Kathmandu,Bagmati,Hill,Central,1941,29050,VIJAY MEMORIAL MA VI DILLIBAZAR,27.8,46.9,43.4,34,42.5,43.5,0,19,40,0,59,35,62.8
Kathmandu,Bagmati,Hill,Central,1942,29051,CHAMUNDA MA VI JORPATI,31.1,47.5,49.7,40.7,52.2,38.9,1,45,20,0,66,11,84.6
Kathmandu,Bagmati,Hill,Central,1943,29052,SHAHID SUKRA MA VI BAGBAZAR,36,53.2,46.3,33.1,49,44.2,0,17,26,0,43,5,89.6
Kathmandu,Bagmati,Hill,Central,1944,29053,ADARSHA MA VI BHADRABAS,30.2,51.1,49.9,29,54.6,50.4,0,22,40,1,63,26,70.8
Kathmandu,Bagmati,Hill,Central,1945,29054,SANSKRIT MA VI RANIPOKHARI,32.2,57.9,61.2,38,52.8,71.5,0,19,17,1,37,6,86
Kathmandu,Bagmati,Hill,Central,1946,29055,KALIKA SHARAN MA VI JAHARSING PAUWA,18.6,39.5,39.4,37.4,34.8,49.7,0,7,16,1,24,42,36.4
Kathmandu,Bagmati,Hill,Central,1947,29056,GAUTAM MA VI LAGAN TOLE,52.1,55.7,66.7,40.4,50.6,54.5,2,13,4,0,19,2,90.5
Kathmandu,Bagmati,Hill,Central,1948,29057,HIMALAYA MA VI NEWROAD,53.9,53.9,59,37.6,52.4,43.1,0,8,7,0,15,1,93.8
Kathmandu,Bagmati,Hill,Central,1949,29058,BUDHANILKANTHA MA VI NARAYANSTHAN (SADHARAN),30.2,50,37.3,29.7,46.5,44.6,1,15,35,1,52,44,54.2
Kathmandu,Bagmati,Hill,Central,1950,29059,SARASWATI AWASIYA MA VI KSHETRAPATI,57.3,50.1,68.9,47,64.4,45.1,5,59,18,0,82,3,96.5
Kathmandu,Bagmati,Hill,Central,1951,29060,NANDI RATRI MA VI NAXAL,21.1,39.8,29.8,23.5,43.8,44.9,0,0,12,0,12,29,29.3
Kathmandu,Bagmati,Hill,Central,1952,29061,PADMODAYA MA VI RAMSHAHPATH,36.7,56.3,69.7,45.3,55.9,51.5,0,52,20,0,72,3,96
Kathmandu,Bagmati,Hill,Central,1953,29062,BHAGYODAYA MA VI SANKHU,29.5,51.3,42,26.2,51.5,46.3,0,10,23,0,33,27,55
Kathmandu,Bagmati,Hill,Central,1954,29063,TARUN MA VI BALAJU,44.6,62,69.5,51.3,56.5,57,3,101,17,0,121,2,98.4
Kathmandu,Bagmati,Hill,Central,1955,29064,ARUNODAYA MA VI AARUBARI,21.8,47.6,36.9,36.5,33.4,42.1,1,4,25,1,31,42,42.5
Kathmandu,Bagmati,Hill,Central,1956,29065,DEEPJYOTI AWASIYA MA VI GONGABU,52.1,65.8,65.3,53.2,60,52.8,11,43,6,0,60,0,100
Kathmandu,Bagmati,Hill,Central,1957,29066,NARAYAN JAN MA VI MACHCHHEGAUN-5,33.8,55.2,46.5,36.5,56.2,39.6,0,9,19,0,28,6,82.4
Kathmandu,Bagmati,Hill,Central,1958,29067,KSHITIZ AWASIYA MA VI DILLIBAZAR,45.4,51.7,51.4,30.6,52.9,53.3,1,4,8,0,13,3,81.3
Kathmandu,Bagmati,Hill,Central,1959,29068,NANDI MA VI NAXAL,31.1,52.8,48.6,35.8,48.5,46.8,0,19,65,0,84,24,77.8
Kathmandu,Bagmati,Hill,Central,1960,29069,JUDDHODAYA MA VI CHHETRAPATI,50.6,55.7,60.4,40.3,57.9,49.1,0,16,11,0,27,0,100
Kathmandu,Bagmati,Hill,Central,1961,29070,PASHUPATI MITRA MA VI CHABAHIL,27.6,53.8,44.3,37.5,41.5,41.5,0,27,60,3,90,51,63.8
Kathmandu,Bagmati,Hill,Central,1962,29071,PAROPAKAR ADARSHA MA VI BHIMSENSTHAN,34,51.9,44.4,35.6,44.8,39.8,0,22,38,6,66,30,68
Kathmandu,Bagmati,Hill,Central,1963,29072,GANDHI ADARSHA MA VI MANAHARA,31.6,58.3,49.7,33.3,43.5,44.3,1,21,38,1,61,13,82.4
Kathmandu,Bagmati,Hill,Central,1964,29073,KANYA MANDIR MA VI NHYOKHA,35.6,43.2,46.6,39.8,41.3,53.9,1,20,47,2,70,23,75.3
Kathmandu,Bagmati,Hill,Central,1965,29074,NAGARJUN MA VI GOLDHUNGA,26.1,48.9,40.5,40.1,34,29.4,0,6,13,0,19,16,54.3
Kathmandu,Bagmati,Hill,Central,1966,29075,SHARADA MA VI PASHUPATI,27.6,53.7,30.7,24.6,44,41.5,0,13,39,4,56,90,38.4
Kathmandu,Bagmati,Hill,Central,1967,29076,DORJI MA VI BAUDDHA,48,59.6,49,58.2,62.6,49.4,0,4,1,0,5,0,100
Kathmandu,Bagmati,Hill,Central,1968,29077,WHITEFIELD HIGHER SECONDARY SCHOOL CHHETRAPATI BHURU,51.4,65.2,71.7,49.4,67.6,56,13,41,9,0,63,0,100
Kathmandu,Bagmati,Hill,Central,1969,29078,GYAN MANDIR MA VI BALAJU,54.6,63.5,71.6,55.2,48.2,47.9,1,9,0,0,10,2,83.3
Kathmandu,Bagmati,Hill,Central,1970,29079,PADMA KANYA MA VI DILLIBAZAR,28.7,44.1,41.7,29.2,45.4,42.8,0,19,73,1,93,57,62
Kathmandu,Bagmati,Hill,Central,1971,29080,KANYA MA VI LAINCHAUR,45.1,54.9,65.1,45.7,64.3,55.6,4,43,16,0,63,0,100
Kathmandu,Bagmati,Hill,Central,1972,29081,KANTI ISHWARI RAJYA LAXMI MA VI PYAPHAL,25.1,47.2,33.7,20.8,38.1,34.1,0,10,17,0,27,11,71.1
Kathmandu,Bagmati,Hill,Central,1973,29082,GRAM SHIKSHYA MANDIR MA VI KAPAN,26.7,56.6,39.9,38.2,47.4,50.2,1,11,16,0,28,24,53.8
Kathmandu,Bagmati,Hill,Central,1974,29083,TANGAL MA VI BHIM BHAWAN TANGAL,25.7,44.1,45.6,24.6,41.9,36.2,0,9,26,0,35,10,76.1
Kathmandu,Bagmati,Hill,Central,1975,29084,SARASWATI NIKETAN MA VI BRAHMA TOLE,40.6,60.8,41.3,35.3,58.4,45.3,0,17,23,0,40,8,83.3
Kathmandu,Bagmati,Hill,Central,1976,29085,KANYA MA VI YATAKHA TOLE,32.4,50.5,46.7,37.8,46.1,48.5,1,4,16,1,22,3,88
Kathmandu,Bagmati,Hill,Central,1977,29086,RASTRIYA MA VI INDRAYANI,22.2,40.3,35.9,38.9,33.6,52.3,0,10,22,0,32,49,39.5
Kathmandu,Bagmati,Hill,Central,1978,29087,NAVA ADARSHA MA VI BASANTPUR,26.4,54.6,49.5,32.8,35.1,35.3,0,1,13,2,16,7,69.6
Kathmandu,Bagmati,Hill,Central,1979,29088,LABORATORY MA VI KIRTIPUR,52.6,57.3,70.3,60.3,60.2,56.4,6,18,3,0,27,0,100
Kathmandu,Bagmati,Hill,Central,1980,29089,ANANDAKUTI MA VI SWAYAMBHU,48.2,50.8,59,42.4,52.5,45.2,2,28,35,0,65,3,95.6
Kathmandu,Bagmati,Hill,Central,1981,29090,BHANUBHAKTA MEMORIAL MA VI PANIPOKHARI,55.2,59.4,68.7,50.5,60.5,50.4,50,124,15,0,189,2,99
Kathmandu,Bagmati,Hill,Central,1982,29091,BUDHANILKANTHA BOARDING SCHOOL BUDHANILKANTHA,59.8,60.3,76.6,59.6,68.9,59.6,37,58,1,0,96,0,100
Kathmandu,Bagmati,Hill,Central,1983,29092,SIDDHARTHA VANASTHALI INSTITUTE BALAJU,58.9,62.3,74.3,53.7,55.1,53.8,74,315,29,0,418,3,99.3
Kathmandu,Bagmati,Hill,Central,1984,29093,TRIBHUVAN ADARSHA AWASIYA MA VI PHARPING,45.9,69.7,73.4,45.3,56.1,50.7,5,13,4,0,22,0,100
Kathmandu,Bagmati,Hill,Central,1985,29094,MAHENDRA BHAVAN KANYA MA VI GYANESHWAR,53.3,58.9,64.3,36.7,64.4,54.6,0,42,4,0,46,1,97.9
Kathmandu,Bagmati,Hill,Central,1986,29095,VIDHYA MANDIR MA VI NAIKAP,25.9,50.6,29.6,28.3,46.9,38.7,0,14,14,1,29,39,42.6
Kathmandu,Bagmati,Hill,Central,1987,29096,SHREE GANESH MA VI CHAPALI BUDHANILKANTHA,32.1,52.9,48,35.2,52.8,45,0,31,39,0,70,18,79.5
Kathmandu,Bagmati,Hill,Central,1988,29098,RASTRIYA SUNGHAVA BOARDING HIGH SCHOOL LAMPOKHARI CH,52.8,55.6,77.9,45.2,52.4,49.2,4,26,3,0,33,0,100
Kathmandu,Bagmati,Hill,Central,1989,29099,BAL UDYAN AWASIYA MA VI KALIKASTHAN,45.3,46.4,44.6,31.1,48,53.1,0,4,3,0,7,3,70
Kathmandu,Bagmati,Hill,Central,1990,29100,ARNIKO AWASIYA MA VI BHOTEBAHAL,52.9,48.9,60.7,41.2,52.8,57.8,2,27,8,0,37,4,90.2
Kathmandu,Bagmati,Hill,Central,1991,29101,ADARSHA YOG-HARI MA VI LAINCHAUR,48.4,52.9,75,49.4,64.7,57.8,6,36,5,0,47,0,100
Kathmandu,Bagmati,Hill,Central,1992,29102,EVEREST SECONDARY BOARDING SCHOOL GALKOPAKHA THAME,54.8,61.8,76.7,52.5,61.1,56.3,11,24,2,0,37,0,100
Kathmandu,Bagmati,Hill,Central,1993,29103,PANCHA KANYA MA VI KIMSI SYUCHATAR,29.4,55.6,36,37.9,46.9,41.1,0,2,7,0,9,7,56.3
Kathmandu,Bagmati,Hill,Central,1994,29104,ADINATH MA VI CHOVAR,37.2,54.3,48.8,32.3,44.2,41.2,0,7,21,2,30,3,90.9
Kathmandu,Bagmati,Hill,Central,1995,29105,BRIHASPATI VIDHYASADAN MA VI NAXAL,57.8,62,79.3,47.7,69.2,55.7,28,90,2,0,120,0,100
Kathmandu,Bagmati,Hill,Central,1996,29107,DAWN INTERNATIONAL PUBLIC HIGH SCHOOL GONGABU,41.1,46.6,19.3,46.9,41.1,46.1,0,0,1,0,1,6,14.3
Kathmandu,Bagmati,Hill,Central,1997,29108,BAUDESWAR MA VI JOR MAHANKAL,29.5,40.3,44.7,41.4,42.8,51,0,9,24,0,33,19,63.5
Kathmandu,Bagmati,Hill,Central,1998,29109,KULESWAR MA VI KULESWAR,24.3,51.2,31.3,25,40.7,36.7,0,1,7,0,8,13,38.1
Kathmandu,Bagmati,Hill,Central,1999,29110,LEARNING REALM INTERNATIONAL SCHOOL KALANKISTHAN,63.3,62.3,80.3,50.1,63.1,47.9,29,130,3,0,162,0,100
Kathmandu,Bagmati,Hill,Central,2000,29111,GUHESWARI BAL SIKKSHA MA VI THAPATHALI,26.8,48.7,40.1,26.1,39.1,41.7,0,7,11,0,18,15,54.5
Kathmandu,Bagmati,Hill,Central,2001,29112,MITRA MA VI KALIMATI KULESHWOR,52.7,62.7,73.1,45.3,52.8,56.9,2,8,2,0,12,0,100
Kathmandu,Bagmati,Hill,Central,2002,29113,GALAXY PUBLIC MA VI GYANESWAR,58.6,74.8,78.8,53.7,58.3,59.2,105,150,1,0,256,1,99.6
Kathmandu,Bagmati,Hill,Central,2003,29114,MAHA MANJUSHREE MA VI SWOYAMBHU,51.5,61.8,69.2,57.4,57.4,56.2,2,44,5,0,51,0,100
Kathmandu,Bagmati,Hill,Central,2004,29115,PUSHPA SADAN BOARDING HIGH SCHOOL KIRTIPUR,51.3,60.8,78.7,57.4,71,59.4,15,71,2,0,88,0,100
Kathmandu,Bagmati,Hill,Central,2005,29116,BHRIKUTI MA VI BOUDHA MAHANKAL,47.9,54.8,65.8,40,63.2,48.9,4,44,7,0,55,6,90.2
Kathmandu,Bagmati,Hill,Central,2006,29117,HOLY GARDEN BOARDING HIGH SCHOOL RINGROAD BALAJU,56.5,64.2,74,55,58.6,51.8,7,37,1,0,45,0,100
Kathmandu,Bagmati,Hill,Central,2007,29118,BALAMBU MA VI BALAMBU,41.2,71.1,82.1,52.9,54.4,50.1,2,36,0,0,38,0,100
Kathmandu,Bagmati,Hill,Central,2008,29119,TILINGTAR MA VI DHAPASI PANCHAKANYA,36.8,63.4,58.2,47.5,61.5,51.8,2,46,19,0,67,2,97.1
Kathmandu,Bagmati,Hill,Central,2009,29120,JANA JYOTI MA VI BHIMSENSTHAN,54.5,67.3,67.5,38.3,53.7,46.1,0,15,4,0,19,1,95
Kathmandu,Bagmati,Hill,Central,2010,29121,RAYNERS RESIDENTIAL MA VI MINBHAWAN,51.9,59.6,60,49,55.3,37.2,0,18,3,0,21,0,100
Kathmandu,Bagmati,Hill,Central,2011,29122,MANGAL MA VI KIRTIPUR,43.8,60.3,54.9,46.6,52.8,51,0,37,17,1,55,0,100
Kathmandu,Bagmati,Hill,Central,2012,29123,BISHNU DEVI SHIKSHA SADAN MA VI SATUNGAL,33.4,59.1,79.9,50.4,49.5,54.4,3,31,3,0,37,1,97.4
Kathmandu,Bagmati,Hill,Central,2013,29124,RATNA SHIKSHA SHADAN KOTESHWOR,55.8,49.9,63.9,57.3,64.1,51.4,0,13,1,0,14,0,100
Kathmandu,Bagmati,Hill,Central,2014,29125,PANGA MA VI SAHIDPATH PANGA,57.8,63.8,72.2,58.4,56.8,59,14,47,3,0,64,1,98.5
Kathmandu,Bagmati,Hill,Central,2015,29126,TYOUDA MA VI TYOUDA TALACHHI,41.9,64.3,61.9,52.3,53.9,57.3,0,14,2,0,16,2,88.9
Kathmandu,Bagmati,Hill,Central,2016,29127,KAMADHENU MA VI PAKHACHOWK NAIKHANDI,32.6,55,54.8,46.2,53.1,52.4,0,14,10,0,24,1,96
Kathmandu,Bagmati,Hill,Central,2017,29128,RICHMOND ACADEMY KALANKI,53.7,64.8,67.4,48,61.1,51,2,14,3,0,19,0,100
Kathmandu,Bagmati,Hill,Central,2018,29129,THE ELITE'S CO-ED MA VI NAGPOKHARI,56.5,52.7,69.5,37,67.3,52.2,1,4,1,0,6,0,100
Kathmandu,Bagmati,Hill,Central,2019,29130,MANOHAR MA VI GONGABU,29.1,53.9,44.5,42,44.6,44.3,0,18,21,2,41,29,58.6
Kathmandu,Bagmati,Hill,Central,2020,29131,JANAPATH MA VI KALANKISTHAN,28.8,55.1,40.5,37.5,51.4,53.2,0,8,7,0,15,7,68.2
Kathmandu,Bagmati,Hill,Central,2021,29132,UMA MAHESWOR AWASIYA MA VI KULESHWOR,56.4,49,47.6,48.3,55.5,42.9,0,8,2,0,10,3,76.9
Kathmandu,Bagmati,Hill,Central,2022,29133,SHREE KRISHNA MA VI CHHAIMALE,25.9,64.3,44.8,36,45,49.5,0,13,9,0,22,13,62.9
Kathmandu,Bagmati,Hill,Central,2023,29134,KANTIPUR ENGLISH MA VI MAHARAJGUNJ,56.7,62.1,78.4,55.9,72.7,57.7,22,68,1,0,91,0,100
Kathmandu,Bagmati,Hill,Central,2024,29135,KIRTI MA VI KIRTIPUR,52.5,62,66.8,44.5,57.5,47.3,1,16,2,0,19,0,100
Kathmandu,Bagmati,Hill,Central,2025,29136,SHIKHARPUR MA VI PHARPING,49.1,72.9,72.7,55,54.1,53.9,9,32,5,0,46,1,97.9
Kathmandu,Bagmati,Hill,Central,2026,29137,NAVA JYOTI ENGLISH SECONDARY SCHOOL KOTESWOR,52.8,60.9,68.3,45.4,56.7,50.6,15,63,12,0,90,2,97.8
Kathmandu,Bagmati,Hill,Central,2027,29138,NAVIN SHIKHAR AWASIYA MA VI OLD BANESHWAR,45.8,48.4,56.9,38,55.7,37.8,0,4,5,0,9,1,90
Kathmandu,Bagmati,Hill,Central,2028,29139,GAURI SHANKAR AWASIYA MA VI TAHACHAL,56.6,58.9,61.7,50.3,53.9,52.2,3,29,5,0,37,1,97.4
Kathmandu,Bagmati,Hill,Central,2029,29140,KATHMANDU VALLEY SCHOOL MAHARAJGUNJ,57.8,58.3,68.4,59,43.3,48.8,0,31,5,0,36,0,100
Kathmandu,Bagmati,Hill,Central,2030,29142,GANESH BOARDING MA VI SWAYAMBHU,57.8,68.9,65.1,50.7,62.9,49.4,1,15,1,0,17,0,100
Kathmandu,Bagmati,Hill,Central,2031,29143,PHARPING MA VI JHAMKESWARI PHARPING,32.1,50.2,42.9,38.5,47.3,46.2,0,8,27,0,35,12,74.5
Kathmandu,Bagmati,Hill,Central,2032,29144,RISING STAR SECONDARY SCHOOL KALIMATI,42.8,49.7,55.3,44.9,63,57.1,2,28,11,0,41,6,87.2
Kathmandu,Bagmati,Hill,Central,2033,29145,SERENE VALLEY SCHOOL BANESHWAR,57.1,56.6,76.2,53.4,63,50.8,4,21,0,0,25,0,100
Kathmandu,Bagmati,Hill,Central,2034,29147,VAISHNABI MA VI BHAJANGAL KIRTIPUR,34.6,57.8,41.2,40.6,40.1,47.8,0,7,8,0,15,10,60
Kathmandu,Bagmati,Hill,Central,2035,29148,JANA UDDHAR MA VI SITAPAILA,34,63.6,63.2,44.7,45.5,46.6,0,16,13,0,29,2,93.5
Kathmandu,Bagmati,Hill,Central,2036,29149,SPRING DALE HIGH SCHOOL BANSBARI MAHARAJGUNJ,12,21.5,17.5,16,27,17.5,0,0,2,0,2,5,22.2
Kathmandu,Bagmati,Hill,Central,2037,29151,ARUNIMA MA VI BOUDHA JORPATI,52,62.4,77,51.2,67.9,50.4,42,82,3,0,127,0,100
Kathmandu,Bagmati,Hill,Central,2038,29152,BLUE BIRD BOARDING HIGH SCHOOL MAHARAJGUNJ,39.3,46.2,50.2,42.2,63.9,41.9,0,5,11,0,16,1,94.1
Kathmandu,Bagmati,Hill,Central,2039,29154,KANKALI MA VI PURANO NAIKAP,47.7,70.8,74.3,49.6,49.1,48.5,0,49,6,0,55,0,100
Kathmandu,Bagmati,Hill,Central,2040,29155,PRITHIVI NARAYAN MA VI GOLDHUNGA-7,39.5,64.7,50.4,42.7,47.7,44.5,0,22,16,0,38,6,86.4
Kathmandu,Bagmati,Hill,Central,2041,29156,OKHRENI MA VI SUNDARIJAL,25,56.3,52.9,42.8,40.1,42,0,12,9,0,21,17,55.3
Kathmandu,Bagmati,Hill,Central,2042,29157,MAHANKAL MA VI MAHABAUDDHA,30.4,49.6,44.8,31.2,49.2,50.2,0,11,12,0,23,15,60.5
Kathmandu,Bagmati,Hill,Central,2043,29158,JUBILANT (PRAJWOL) MA VI BHIMSENSTHAN,55.5,67.2,78.1,51.4,65.8,58.6,10,10,0,0,20,1,95.2
Kathmandu,Bagmati,Hill,Central,2044,29159,MANAKAMANA ENGLISH MA VI GOKARNA,63.3,68.6,89,60.7,70.1,52.5,36,42,0,0,78,0,100
Kathmandu,Bagmati,Hill,Central,2045,29160,DEEPSHIKHA MA VI NAYABAZAR,55.6,62.3,69.2,56.5,51.3,48.5,4,26,2,0,32,0,100
Kathmandu,Bagmati,Hill,Central,2046,29161,TEJ BINAYAK MA VI GOTHATAR,25.9,48.9,41.4,32.6,48.2,34.9,0,4,17,6,27,22,55.1
Kathmandu,Bagmati,Hill,Central,2047,29162,SWARNIM SHIKSHA SADAN MA VI BHURUNGKHEL,50.1,60.6,79.6,57,73.5,58.6,8,11,0,0,19,0,100
Kathmandu,Bagmati,Hill,Central,2048,29163,GYANKUNJA MA VI RABIBHAWAN,58.5,60.7,81.7,49.8,61.3,64.9,25,44,2,0,71,0,100
Kathmandu,Bagmati,Hill,Central,2049,29164,LITTLE ROSE AWASIYA MA VI MAHARAJGUNJ,46.1,52.2,64.3,46.4,58,43,0,16,12,0,28,1,96.6
Kathmandu,Bagmati,Hill,Central,2050,29165,KHOKANA JAN MA VI TAUTHALI,31.5,63.9,53.6,44.6,43.7,51.3,1,15,18,0,34,10,77.3
Kathmandu,Bagmati,Hill,Central,2051,29166,SHANTI ADARSHA MA VI JORPATI,50.7,59.9,71.7,59.3,65.6,51.4,6,44,3,0,53,1,98.1
Kathmandu,Bagmati,Hill,Central,2052,29167,MANAMAIJU MA VI MANAMAIJU,34.2,54.2,58.5,45.8,49.7,45.7,0,17,31,2,50,2,96.2
Kathmandu,Bagmati,Hill,Central,2053,29168,BISHWA GORKHA ACADEMY BANESWOR,26.9,28,20.3,14.9,32.1,30.6,0,2,4,0,6,31,16.2
Kathmandu,Bagmati,Hill,Central,2054,29169,INDRADHANUSH BOARDING HIGH SCHOOL BHIMSENGOLA BANES,55.5,61.3,81.3,53.9,65.5,52.8,6,24,1,0,31,0,100
Kathmandu,Bagmati,Hill,Central,2055,29170,RHODODENDRON INTERNATIONAL BOARDING SCHOOL KALANKIS,51.5,54.7,70.4,49.8,69.4,51.3,23,77,13,0,113,2,98.3
Kathmandu,Bagmati,Hill,Central,2056,29171,AANAND BHUMI AWASIYA MA VI MAITIDEVI,48.5,57.3,70,45.6,57.1,48.2,1,46,6,0,53,0,100
Kathmandu,Bagmati,Hill,Central,2057,29172,PRAGYA MA VI GALKOPAKHA THAMEL,43.5,54.6,68.5,50.6,61,56.4,1,28,6,0,35,1,97.2
Kathmandu,Bagmati,Hill,Central,2058,29173,BRIGHT FUTURE MA VI TINTHANA NAIKAP,58.3,69.2,79.5,54,72.6,49.3,19,75,1,0,95,0,100
Kathmandu,Bagmati,Hill,Central,2059,29174,SIDDHI MANAKAMANA MA VI GHATTEKULO,34.2,43.1,30.4,26,39.6,43.3,0,0,10,0,10,4,71.4
Kathmandu,Bagmati,Hill,Central,2060,29175,SURYODAYA JYOTI AWASIYA MA VI MAITIDEVI,58.2,64.6,79.6,56.8,66.6,58.7,10,37,1,0,48,0,100
Kathmandu,Bagmati,Hill,Central,2061,29176,BAL BIKAS MA VI AALAPOT,34,53.4,47.9,48.6,46.9,45.1,1,8,14,0,23,6,79.3
Kathmandu,Bagmati,Hill,Central,2062,29177,KUMUDINI MA VI BHIMMUKTESWAR KALIMATI,42.9,39.6,46.3,33.2,37.7,46.1,1,3,2,0,6,1,85.7
Kathmandu,Bagmati,Hill,Central,2063,29178,SARASWATI KUNJ MA VI RATOPUL,50.3,55.1,70.1,42.2,58,53.8,6,21,7,0,34,2,94.4
Kathmandu,Bagmati,Hill,Central,2064,29179,GREEN VILLAGE MA VI KIRTIPUR,55.7,63.8,69.2,48.8,54.9,47.9,3,25,3,0,31,1,96.9
Kathmandu,Bagmati,Hill,Central,2065,29180,THE NEW SUMMIT ENGLISH BOARDING SCHOOL MAITIDEVI,54.1,60.1,73.2,48.4,58.4,51.9,20,76,8,0,104,1,99
Kathmandu,Bagmati,Hill,Central,2066,29181,TRI-SHAKTI HIGH SCHOOL DILLIBAZAR,50.9,55.3,64,56.3,56.1,50,0,8,1,0,9,0,100
Kathmandu,Bagmati,Hill,Central,2067,29182,MAITIDEVI AWASIYA MA VI DILLIBAZAR,53.5,66.1,70.5,42.5,61.1,60.2,1,9,1,0,11,0,100
Kathmandu,Bagmati,Hill,Central,2068,29183,MOUNT VIEW SCHOOL MITRAPARK,46.5,57.8,68,43.7,54.7,47.7,3,36,0,0,39,0,100
