"","X","Name","Genre","Platform","Global_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year","Total_Sales"
"60",1769,"Need for Speed Underground 2","Racing","XB",2.28,1.38,0,0.8,0.1,2004,2.28
"61",2162,"Need for Speed: Most Wanted","Racing","PC",0.28,0.02,0,0.24,0.02,2005,0.28
"62",2044,"Need for Speed: Most Wanted","Racing","PS2",4.37,2.03,0.08,1.79,0.47,2005,4.37
"63",2073,"Need for Speed: Most Wanted","Racing","XB",1.04,0.53,0,0.46,0.05,2005,1.04
"64",1733,"Rayman 3: Hoodlum Havoc","Platform","PC",0.03,0,0,0.03,0,2003,0.03
"65",1567,"Rayman 3: Hoodlum Havoc","Platform","PS2",0.29,0.14,0,0.11,0.04,2003,0.29
"66",177,"Rayman 3: Hoodlum Havoc","Platform","XB",0.07,0.06,0.01,0.02,0,2003,0.08
"67",6104,"Scarface: The World is Yours","Adventure","PC",0.04,0.01,0.01,0.02,0,2006,0.03
"68",2382,"Scarface: The World is Yours","Adventure","PS2",1.19,0.99,0,0.04,0.16,2006,1.19
"69",349,"Scarface: The World is Yours","Adventure","XB",0.49,0.37,0.01,0.11,0.02,2006,0.5
"70",6062,"Sniper Elite","Shooter","PC",0.02,0,0.01,0.01,0,2005,0.01
"71",2200,"Sniper Elite","Shooter","PS2",0.19,0.1,0,0.07,0.02,2005,0.19
"72",2260,"Sniper Elite","Shooter","XB",0.09,0.07,0,0.02,0,2005,0.09
"73",1890,"Star Wars Battlefront","Shooter","PC",0.24,0.08,0,0.14,0.02,2004,0.24
"74",182,"Star Wars Battlefront","Shooter","PS2",3.61,1.93,0.0100000000000002,1.22,0.44,2004,3.62
"75",188,"Star Wars Battlefront","Shooter","XB",1.75,1.24,0.01,0.45,0.07,2004,1.76
"76",306,"Star Wars Battlefront II","Shooter","PC",0.18,0.03,0.01,0.14,0.02,2005,0.19
"77",265,"Star Wars Battlefront II","Shooter","PS2",3.59,2.18,0.0100000000000002,1.02,0.37,2005,3.6
"78",2057,"Star Wars Battlefront II","Shooter","XB",1.67,1.22,0,0.39,0.06,2005,1.67
"79",6060,"The Incredibles: Rise of the Underminer","Platform","PC",0.02,0.01,0.01,0,0,2005,0.01
"80",289,"The Incredibles: Rise of the Underminer","Action","PS2",0.36,0.18,0.01,0.14,0.05,2005,0.37
"81",6035,"The Incredibles: Rise of the Underminer","Action","XB",0.09,0.06,0.01,0.02,0,2005,0.08
"82",5683,"The Sims","Simulation","PC",0.05,0.01,0.01,0.03,0,2000,0.04
"83",1447,"The Sims","Simulation","PS2",2.77,1.41,0,1.12,0.24,2003,2.77
"84",1536,"The Sims","Simulation","XB",0.42,0.31,0,0.1,0.01,2003,0.42
"85",1879,"The Sims 2","Simulation","PC",0.29,0.02,0,0.24,0.03,2004,0.29
"86",2085,"The Sims 2","Simulation","PS2",0.81,0.67,0,0.03,0.11,2005,0.81
"87",2175,"The Sims 2","Simulation","XB",0.25,0.19,0,0.05,0.01,2005,0.25
"88",2371,"Tiger Woods PGA Tour 06","Sports","PC",0.01,0.01,0,0,0,2005,0.01
"89",2081,"Tiger Woods PGA Tour 06","Sports","PS2",0.89,0.74,0,0.03,0.12,2005,0.89
"90",2122,"Tiger Woods PGA Tour 06","Sports","XB",0.48,0.35,0,0.11,0.02,2005,0.48
"91",2036,"Tiger Woods PGA Tour 2005","Sports","PC",0.01,0,0,0.01,0,2004,0.01
"92",1786,"Tiger Woods PGA Tour 2005","Sports","PS2",1.44,1.03,0,0.32,0.09,2004,1.44
"93",1810,"Tiger Woods PGA Tour 2005","Sports","XB",0.85,0.64,0,0.18,0.03,2004,0.85
"94",2599,"TOCA Race Driver 3: The Ultimate Racing Simulator","Racing","PC",0.02,0,0,0.02,0,2006,0.02
"95",2488,"TOCA Race Driver 3: The Ultimate Racing Simulator","Racing","PS2",0.08,0.04,0,0.03,0.01,2006,0.08
"96",371,"TOCA Race Driver 3: The Ultimate Racing Simulator","Racing","XB",0.03,0.03,0.01,0.01,0,2006,0.04
"97",5886,"Tom Clancy's Splinter Cell","Shooter","PC",0.01,0,0.01,0,0,2003,0
"98",111,"Tom Clancy's Splinter Cell","Action","PS2",2.65,1.15,0.0100000000000002,1.11,0.4,2003,2.66
"99",1143,"Tom Clancy's Splinter Cell","Action","XB",3.02,1.85,0,1.04,0.13,2002,3.02
"100",2614,"Tomb Raider: Legend","Action","PC",0.02,0,0,0.02,0,2006,0.02
"101",2404,"Tomb Raider: Legend","Action","PS2",0.52,0.25,0.02,0.19,0.06,2006,0.52
"102",2472,"Tomb Raider: Legend","Action","XB",0.13,0.1,0,0.03,0,2006,0.13
"103",2372,"Ultimate Spider-Man","Action","PC",0.01,0.01,0,0,0,2005,0.01
"104",2088,"Ultimate Spider-Man","Action","PS2",0.72,0.6,0,0.02,0.1,2005,0.72
"105",2142,"Ultimate Spider-Man","Action","XB",0.39,0.26,0,0.11,0.02,2005,0.39
"106",2369,"X-Men Legends II: Rise of Apocalypse","Role-Playing","PC",0.01,0.01,0,0,0,2005,0.01
"107",274,"X-Men Legends II: Rise of Apocalypse","Role-Playing","PS2",0.63,0.53,0.01,0.02,0.09,2005,0.64
"108",2129,"X-Men Legends II: Rise of Apocalypse","Role-Playing","XB",0.44,0.3,0,0.12,0.02,2005,0.44
